0082,0147,0148,0149,0149,0149,0149,0149,0149,0149,0084,0084,0084,0084,0084,0084,0084,0084,0084,0084
0082,0212,0213,0214,0214,0214,0214,0214,0214,0214,0149,0149,0149,0149,0149,0149,0149,0149,0149,0149
0147,0277,0278,0279,0279,0279,0279,0279,0279,0279,0214,0214,0214,0214,0214,0214,0214,0214,0214,0214
0212,0342,0343,0344,0344,0344,0344,0344,0344,0344,0279,0279,0279,0279,0279,0279,0279,0279,0279,0279
0082,0407,0408,0409,0409,0409,0409,0409,0409,0539,0540,0541,0344,0344,0344,0344,0344,0344,0344,0344
0147,0148,0603,0540,0541,0082,0083,0407,0603,0604,0605,0606,0607,0409,0409,0409,0409,0409,0409,0409
0212,0213,0668,0605,0801,0082,0082,0083,0668,0669,0670,0671,0672,0407,0407,0408,0082,0083,0084,0149
0277,0278,0733,0801,3218,3219,3220,0277,0733,0734,0735,0736,0737,0608,3218,3219,3220,0084,0084,0214
3219,3219,3219,3219,3283,3284,3285,3219,3286,0799,0800,0801,3282,3219,3283,3284,3285,3219,3219,3219
3348,3348,3349,3350,3348,3349,3350,3349,3351,0277,0278,0279,3347,3350,3348,3349,3350,3348,3349,3350
3479,3479,3479,3479,3413,3414,3348,3349,3351,0342,0343,0344,3347,3348,3349,3350,3415,3479,3479,3479
0082,0083,0084,0214,3478,3479,3479,3479,3416,0407,0408,0409,3412,3479,3479,3479,3480,0344,0214,0409
0147,0148,0149,0279,0407,0407,0408,0212,0213,0214,0214,0539,0540,0540,0541,0407,0408,0409,0279,0408
0212,0213,0214,0539,0540,0541,0409,0277,0278,0279,0279,0799,0800,0800,0801,0407,0408,0409,0344,0408
0277,0278,0082,0799,0800,0801,0083,0342,0343,0539,0540,0541,0082,0083,0084,0407,0408,0409,0409,0408
0342,0343,0147,0082,0082,0082,0082,0083,0603,0604,0605,0606,0607,0148,0149,0407,0408,0409,0407,0408
0407,0408,0212,0147,0147,0147,0082,0082,0668,0669,0670,0671,0672,0213,0214,0082,0082,0083,0407,0408
0342,0407,0277,0212,0212,0212,0147,0147,0733,0734,0735,0736,0737,0278,0279,0147,0082,0082,0083,0084
0407,0407,0342,0277,0277,0277,0212,0212,0147,0799,0800,0801,0082,0082,0082,0082,0082,0082,0082,0083
0407,0408,0407,0342,0342,0342,0277,0277,0212,0212,0147,0147,0147,0147,0147,0147,0147,0147,0147,0148

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1
0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
