3223,3224,3225,3226,3227,3228,3229,3223,3224,3225,3226,3227,3228,3229,3223,3224,3225,3226,3415,3479,3479,3479,3479,3413
3288,3289,3290,3291,3292,3293,3294,3288,3289,3290,3291,3292,3415,3479,3479,3413,3290,3291,3351,3282,3219,3219,3286,3347
3353,3354,3355,3356,3357,3358,3359,3353,3354,3355,3356,3357,3351,3282,3220,3347,3355,3356,3351,3347,3359,3353,3351,3347
3418,3419,3415,3479,3413,3423,3424,3418,3419,3420,3421,3422,3351,3347,3351,3412,3479,3479,3416,3347,3424,3418,3351,3347
3483,3484,3351,0343,3347,3488,3489,3483,3484,3485,3486,3487,3351,3347,3285,3219,3219,3219,3219,3283,3489,3483,3351,3347
3223,3224,3351,0343,3347,3228,3229,3223,3224,3225,3226,3227,3351,3347,3223,3224,3225,3226,3227,3228,3229,3223,3351,3347
3288,3289,3351,0343,3347,3293,3294,3288,3289,3290,3291,3292,3351,3412,3479,3479,3479,3479,3413,3293,3294,3288,3351,3347
3353,3354,3351,0343,3347,3358,3359,3353,3354,3355,3356,3357,3351,3282,3219,3219,3220,0278,3347,3358,3359,3353,3351,3347
3418,3419,3351,0343,3467,3533,3533,3533,3533,3533,3533,3533,3480,3347,3418,3419,3351,0344,3412,3479,3479,3413,3351,3347
3483,3484,3351,0277,0342,0343,0344,0345,0342,0342,0343,0344,0345,3347,3483,3484,3351,0408,0344,0344,0278,3347,3351,3347
3223,3224,3351,0815,0816,3239,3187,3187,3187,3187,3187,3187,3187,3283,3223,3224,3285,3219,3219,3286,0343,3412,3480,3347
3288,3289,3351,0880,0881,3304,3294,3288,3289,3290,3291,3292,3293,3294,3288,3289,3290,3291,3292,3351,0408,3282,3219,3283
3353,3354,3351,0673,0674,3304,3359,3353,3354,3355,3356,3357,3358,3359,3353,3354,3355,3356,3357,3351,0278,3347,3354,3355
3418,3419,3351,0407,0408,3304,3424,3418,3419,3420,3421,3422,3423,3424,3418,3419,3420,3421,3422,3351,0278,3347,3419,3420
3483,3484,3351,0277,0278,3304,3489,3483,3484,3485,3486,3487,3488,3489,3483,3484,3485,3486,3487,3351,0343,3347,3484,3485
3223,3224,3351,0342,0343,3304,3229,3223,3224,3225,3226,3227,3228,3229,3223,3224,3225,3226,3415,3416,0408,3347,3224,3225
3288,3289,3351,0608,0609,3304,3294,3288,3289,3290,3291,3292,3293,3294,3288,3289,3290,3291,3351,0608,0609,3347,3289,3290
3353,3354,3351,0608,0609,3304,3359,3353,3354,3355,3356,3357,3358,3359,3353,3354,3355,3356,3351,0815,0816,3347,3354,3355
3418,3419,3351,0673,0674,3304,3424,3418,3419,3420,3421,3422,3423,3424,3418,3419,3420,3421,3351,0880,0881,3478,3479,3479
3483,3484,3351,0407,0408,3304,3489,3483,3484,3485,3486,3415,3479,3479,3479,3479,3479,3479,3416,0608,0609,0544,0608,0609
3223,3224,3285,3219,3219,3283,3229,3223,3224,3225,3226,3351,0539,0540,0540,0608,0609,0539,0540,0541,0674,0608,0609,0674
3288,3289,3290,3291,3292,3293,3294,3288,3289,3290,3291,3351,0608,0609,0608,0673,0604,0605,0606,0671,0739,0673,0674,0739
3353,3354,3355,3356,3357,3358,3359,3353,3354,3355,3356,3351,0673,0674,0673,0738,0669,0670,0671,0736,0673,0738,0803,0804
3418,3419,3420,3421,3422,3423,3424,3418,3419,3420,3421,3351,0738,0739,0738,0739,0734,0735,0736,0739,0738,0739,0868,0869
